Service Code,Dept or Currency Code,Dept or Currency Desc,Activity,Unit cost,Cost
Community Health Service,A06A1 ," Occupational Therapist, Adult, One to One",517271,126.6894,65532771.98
Community Health Service,A06AG ," Occupational Therapist, Adult, Group",2191,193.9681,424984.1867
Community Health Service,A06C1 ," Occupational Therapist, Child, One to One",358650,194.0672,69602198.46
Community Health Service,A06CG ," Occupational Therapist, Child, Group",8287,161.5929,1339120.161
Community Health Service,A08A1 ," Physiotherapist, Adult, One to One",3804818,75.6189,287716187.1
Community Health Service,A08AG ," Physiotherapist, Adult, Group",85618,103.9038,8896032.631
Community Health Service,A08C1 ," Physiotherapist, Child, One to One",514940,157.7908,81252791.6
Community Health Service,A08CG ," Physiotherapist, Child, Group",6915,171.7083,1187362.887
Community Health Service,A09A ," Podiatrist, Tier 1, General Podiatry",1817565,75.109,136515441
Community Health Service,A09B ," Podiatrist, Tier 2, Minor Surgery",67847,96.6972,6560616.996
Community Health Service,A09C ," Podiatrist, Tier 3, Management of at Risk Complex Foot",477361,82.3175,39295145.41
Community Health Service,A09D ," Podiatrist, Specialist Care 1",57580,62.4869,3597993.482
Community Health Service,A09E ," Podiatrist, Specialist Care 2",1246,98.4125,122622.0087
Community Health Service,A09F ," Podiatrist, Other Non-Core Podiatry",221493,83.4325,18479711.66
Community Health Service,A13A1 ," Speech and Language Therapist, Adult, One to One",808523,119.9493,96981748.51
Community Health Service,A13AG ," Speech and Language Therapist, Adult, Group",7514,111.63,838788.0697
Community Health Service,A13C1 ," Speech and Language Therapist, Child, One to One",1334278,162.059,216231785
Community Health Service,A13CG ," Speech and Language Therapist, Child, Group",41106,143.743,5908700.772
Community Health Service,CHS00 , No currency data available,6700064,78.2593,524342370.9
Community Health Service,DCF10 , Stroke Patients,10092,339.2136,3423343.956
Community Health Service,DCF20 , Elderly Patients,20227,138.8796,2809118.676
Community Health Service,DCF30 , Other Patients,61053,167.8786,10249491.58
Community Health Service,IC01 ," Intermediate Care, Crisis Response and Early Discharge Services",2552669,123.8106,316047356
Community Health Service,IC03 , Intermediate Care Home Based Services,3089474,120.8645,373407700.5
Community Health Service,M01A ," Community Dental Service, Contact",729125,263.407,192056646.7
Community Health Service,M01B ," General Dental Service, Attendance",29001,234.6875,6806172.712
Community Health Service,M01C ," Emergency Dental Service, Attendance",49330,186.0889,9179767.186
Community Health Service,MCCRT , Multiple condition community rehabilitation teams,46921,154.3371,7241650.003
Community Health Service,N01A ," Community Midwife, Ante Natal Visit",439694,147.0925,64675707.92
Community Health Service,N01P ," Community Midwife, Post Natal Visit",141645,158.387,22434723.84
Community Health Service,N02AF ," District Nurse, Adult, Face to face",24368723,58.1112,1416095277
Community Health Service,N02AN ," District Nurse, Adult, Non face to face",2023231,40.0333,80996669.91
Community Health Service,N03A ," Health Visitor, Ante, Natal Review",23011,112.1283,2580185.254
Community Health Service,N03B ," Health Visitor, New Baby Review",53820,106.8537,5750864.646
Community Health Service,N03C ," Health Visitor, 6 to 8 Weeks Check",48795,94.6331,4617622.442
Community Health Service,N03D ," Health Visitor, 1 Year Review",37857,99.8275,3779171.085
Community Health Service,N03E ," Health Visitor, 2 to 2.5 Year Review",39527,108.1695,4275614.634
Community Health Service,N03F ," Health Visitor, Other Clinical Intervention",283879,62.1441,17641417.62
Community Health Service,N03G ," Health Visitor, Other Statutory Contact, Face to Face",623199,81.16,50578805.64
Community Health Service,N03H , Parentcraft,6741,113.5008,765109.1315
Community Health Service,N03J ," Health Visitor, Other Statutory Contact, Non Face to Face",547364,61.8381,33847941.42
Community Health Service,N03N ," Health Visitor, Immunisation",88831,14.5956,1296544.881
Community Health Service,N03P , Family Nurse Partnership Programme Visit,26582,101.1229,2688049.913
Community Health Service,N05CGM ," School Based Children's Health Core Services, Group Multi Professional",543,0.1286,69.827
Community Health Service,N05CGS ," School Based Children's Health Core Services, Group Single Professional",8020,396.588,3180635.813
Community Health Service,N05CO ," School Based Children's Health Core Services, One to One",560963,111.7605,62693493.96
Community Health Service,N05OGS ," School Based Children's Health Other Services, Group Single Professional",227,115.4506,26207.2793
Community Health Service,N05OO ," School Based Children's Health Other Services, One to One",421500,128.2637,54063144.71
Community Health Service,N05SSN , School Based Children's Health Special Schools Nursing,266822,74.113,19774980.71
Community Health Service,N06AF ," Specialist Nursing, Active Case Management (Community Matrons), Adult, Face to face",585677,136.1375,79732598.31
Community Health Service,N06AN ," Specialist Nursing, Active Case Management (Community Matrons), Adult, Non face to face",147044,98.3541,14462378.04
Community Health Service,N06CF ," Specialist Nursing, Active Case Management (Community Matrons), Child, Face to face",1767,225.0799,397716.2435
Community Health Service,N06CN ," Specialist Nursing, Active Case Management (Community Matrons), Child, Non face to face",68,141.8502,9645.8149
Community Health Service,N07CF ," Specialist Nursing, Arthritis Nursing/Liaison, Child, Face to face",48,237.1473,11383.0705
Community Health Service,N07CN ," Specialist Nursing, Arthritis Nursing/Liaison, Child, Non face to face",13,137.9056,1792.7727
Community Health Service,N08AF ," Specialist Nursing, Asthma and Respiratory Nursing/Liaison, Adult, Face to face",509160,110.6053,56315777.89
Community Health Service,N08AN ," Specialist Nursing, Asthma and Respiratory Nursing/Liaison, Adult, Non face to face",383052,62.3802,23894845.81
Community Health Service,N08CF ," Specialist Nursing, Asthma and Respiratory Nursing/Liaison, Child, Face to face",27401,240.2313,6582576.831
Community Health Service,N08CN ," Specialist Nursing, Asthma and Respiratory Nursing/Liaison, Child, Non face to face",3641,107.7156,392192.4323
Community Health Service,N09AF ," Specialist Nursing, Breast Care Nursing/Liaison, Adult, Face to face",6148,130.9543,805107.0518
Community Health Service,N09AN ," Specialist Nursing, Breast Care Nursing/Liaison, Adult, Non face to face",2922,92.926,271529.6686
Community Health Service,N10AF ," Specialist Nursing, Cancer Related, Adult, Face to face",218225,115.3603,25174505.42
Community Health Service,N10AN ," Specialist Nursing, Cancer Related, Adult, Non face to face",70927,88.5427,6280066.606
Community Health Service,N10CF ," Specialist Nursing, Cancer Related, Child, Face to face",1249,173.8304,217114.1906
Community Health Service,N10CN ," Specialist Nursing, Cancer Related, Child, Non face to face",593,86.0414,51022.5771
Community Health Service,N11AF ," Specialist Nursing, Cardiac Nursing/Liaison, Adult, Face to face",469990,125.1641,58825875.36
Community Health Service,N11AN ," Specialist Nursing, Cardiac Nursing/Liaison, Adult, Non face to face",320584,83.7969,26863946.82
Community Health Service,N11CF ," Specialist Nursing, Cardiac Nursing/Liaison, Child, Face to face",234,59.4964,13922.1495
Community Health Service,N11CN ," Specialist Nursing, Cardiac Nursing/Liaison, Child, Non face to face",40,52.1973,2087.8924
Community Health Service,N12 , Nursing Services for Children,1425262,146.7184,209112194.8
Community Health Service,N14AF ," Specialist Nursing, Continence Services, Adult, Face to face",396239,124.9715,49518578.27
Community Health Service,N14AN ," Specialist Nursing, Continence Services, Adult, Non face to face",329698,74.4154,24534605.83
Community Health Service,N14CF ," Specialist Nursing, Continence Services, Child, Face to face",27699,149.4249,4138919.723
Community Health Service,N14CN ," Specialist Nursing, Continence Services, Child, Non face to face",56573,88.4501,5003888.493
Community Health Service,N15AF ," Specialist Nursing, Diabetic Nursing/Liaison, Adult, Face to face",461036,92.8904,42825828.82
Community Health Service,N15AN ," Specialist Nursing, Diabetic Nursing/Liaison, Adult, Non face to face",376525,71.6455,26976323.82
Community Health Service,N15CF ," Specialist Nursing, Diabetic Nursing/Liaison, Child, Face to face",15282,146.1219,2233034.257
Community Health Service,N15CN ," Specialist Nursing, Diabetic Nursing/Liaison, Child, Non face to face",17633,49.0943,865679.7308
Community Health Service,N16AF ," Specialist Nursing, Enteral Feeding Nursing Services, Adult, Face to face",9495,364.9742,3465430.459
Community Health Service,N16AN ," Specialist Nursing, Enteral Feeding Nursing Services, Adult, Non face to face",3983,33.0808,131760.7404
Community Health Service,N16CF ," Specialist Nursing, Enteral Feeding Nursing Services, Child, Face to face",2629,57.7348,151784.6644
Community Health Service,N16CN ," Specialist Nursing, Enteral Feeding Nursing Services, Child, Non face to face",619,169.0439,104638.1794
Community Health Service,N17AF ," Specialist Nursing, Haemophilia Nursing Services, Adult, Face to face",275,308.0058,84701.6062
Community Health Service,N17AN ," Specialist Nursing, Haemophilia Nursing Services, Adult, Non face to face",1060,298.9228,316858.1862
Community Health Service,N17CF ," Specialist Nursing, Haemophilia Nursing Services, Child, Face to face",118,411.2277,48524.8635
Community Health Service,N17CN ," Specialist Nursing, Haemophilia Nursing Services, Child, Non face to face",139,677.5567,94180.3777
Community Health Service,N19AF ," Specialist Nursing, Infectious Diseases, Adult, Face to face",986,150.5282,148420.8337
Community Health Service,N19AN ," Specialist Nursing, Infectious Diseases, Adult, Non face to face",525,72.995,38322.3681
Community Health Service,N20AF ," Specialist Nursing, Intensive Care Nursing, Adult, Face to face",644,304.4501,196065.8942
Community Health Service,N20AN ," Specialist Nursing, Intensive Care Nursing, Adult, Non face to face",18,239.236,4306.2481
Community Health Service,N20CF ," Specialist Nursing, Intensive Care Nursing, Child, Face to face",1223,245.5687,300330.5
Community Health Service,N21AF ," Specialist Nursing, Palliative/Respite Care, Adult, Face to face",473262,142.3394,67363850.15
Community Health Service,N21AN ," Specialist Nursing, Palliative/Respite Care, Adult, Non face to face",438954,75.7393,33246086.56
Community Health Service,N21CF ," Specialist Nursing, Palliative/Respite Care, Child, Face to face",16871,188.1404,3174117.403
Community Health Service,N21CN ," Specialist Nursing, Palliative/Respite Care, Child, Non face to face",5110,93.995,480314.2518
Community Health Service,N22AF ," Specialist Nursing, Parkinson's and Alzheimers Nursing/Liaison, Adult, Face to face",78056,119.8346,9353807.992
Community Health Service,N22AN ," Specialist Nursing, Parkinson's and Alzheimers Nursing/Liaison, Adult, Non face to face",43485,69.6356,3028102.13
Community Health Service,N24AF ," Specialist Nursing, Stoma Care Services, Adult, Face to face",24339,57.3182,1395066.753
Community Health Service,N24AN ," Specialist Nursing, Stoma Care Services, Adult, Non face to face",15774,46.1798,728440.1028
Community Health Service,N24CF ," Specialist Nursing, Stoma Care Services, Child, Face to face",52,41.4196,2153.8197
Community Health Service,N24CN ," Specialist Nursing, Stoma Care Services, Child, Non face to face",73,51.026,3724.8947
Community Health Service,N25AF ," Specialist Nursing, Tissue Viability Nursing/Liaison, Adult, Face to face",404014,121.3405,49023251.26
Community Health Service,N25AN ," Specialist Nursing, Tissue Viability Nursing/Liaison, Adult, Non face to face",91113,98.8026,9002203.291
Community Health Service,N25CF ," Specialist Nursing, Tissue Viability Nursing/Liaison, Child, Face to face",8603,56.2361,483799.42
Community Health Service,N25CN ," Specialist Nursing, Tissue Viability Nursing/Liaison, Child, Non face to face",445,67.991,30255.9762
Community Health Service,N27AF ," Specialist Nursing, Treatment Room Nursing Services, Adult, Face to face",534924,49.6071,26536034.59
Community Health Service,N27AN ," Specialist Nursing, Treatment Room Nursing Services, Adult, Non face to face",11405,45.5789,519827.6509
Community Health Service,N27CF ," Specialist Nursing, Treatment Room Nursing Services, Child, Face to face",13888,34.9858,485882.1767
Community Health Service,N27CN ," Specialist Nursing, Treatment Room Nursing Services, Child, Non face to face",81,37.5998,3045.5807
Community Health Service,N28AF ," Specialist Nursing, Tuberculosis Specialist Nursing, Adult, Face to face",34592,146.5198,5068413.411
Community Health Service,N28AN ," Specialist Nursing, Tuberculosis Specialist Nursing, Adult, Non face to face",27601,55.8953,1542764.912
Community Health Service,N28CF ," Specialist Nursing, Tuberculosis Specialist Nursing, Child, Face to face",4226,104.465,441468.973
Community Health Service,N28CN ," Specialist Nursing, Tuberculosis Specialist Nursing, Child, Non face to face",2569,49.1222,126194.9491
Community Health Service,N29AF ," Other Specialist Nursing, Adult, Face to face",2021835,81.4689,164716660.3
Community Health Service,N29AN ," Other Specialist Nursing, Adult, Non face to face",310354,70.8601,21991707.23
Community Health Service,N29CF ," Other Specialist Nursing, Child, Face to face",460034,109.9781,50593668.98
Community Health Service,N29CN ," Other Specialist Nursing, Child, Non face to face",88581,106.5723,9440277.802
Community Health Service,NCRT , Neuro community rehabilitation teams,459190,162.3864,74566229.87
Community Health Service,OSCCRT , Other single condition community rehabilitation teams,868771,121.6176,105657826.7
Community Health Service,SCRT , Stroke community rehabilitation teams,495262,133.9977,66363961.9
Community Health Service,VACN ," School Based Children's Health Other Services, Vaccinations",1066782,29.3913,31354075.46
Community Health Service,WCE01 ," Wheelchair equipment cost, Low need",14997,310.8661,4662058.251
Community Health Service,WCE02 ," Wheelchair equipment cost, Medium need",10359,636.5312,6593826.54
Community Health Service,WCE03 ," Wheelchair equipment cost, High need, Manual",9424,689.0368,6493483.018
Community Health Service,WCE04 ," Wheelchair equipment cost, High need, Powered",3567,1547.8875,5521314.81
Community Health Service,WCE05 ," Wheelchair equipment cost, Specialist need, Manual",6203,903.0233,5601453.719
Community Health Service,WCE06 ," Wheelchair equipment cost, Specialist need, Powered",1881,1777.8063,3344053.712
Community Health Service,WCE07 ," Accessories, low level",8592,250.1399,2149201.886
Community Health Service,WCE08 ," Accessories, medium level",10081,224.44,2262579.659
Community Health Service,WCE09 ," Accessories, high level",21492,108.8477,2339354.771
Community Health Service,WCE10 ," Accessories, Specialised level",6542,340.5239,2227707.261
Community Health Service,WCE11 ," Accessories, specialised level with specialised seating",10411,206.2313,2147074.211
Community Health Service,WCE12 ," Repair & maintenance equipment/non-pay, all needs, Manual",173715,42.9526,7461508.134
Community Health Service,WCE13 ," Repair & maintenance equipment/non-pay, all needs, Powered",21887,191.8134,4198219.603
Consultant Led,IVF01 , Human menopausal gonadotrophins,1376,205.4671,282722.7881
Consultant Led,IVF02 , Follicle stimulating hormone,15215,36.7217,558720.0538
Consultant Led,IVF03 , GnRH antagonists,683,118.2998,80798.7691
Consultant Led,IVF04 , GnRH agonists,594,66.7023,39621.1779
Consultant Led,IVF05 , Human chorionic gonadotropin,1681,94.3901,158669.8302
Consultant Led,IVF06 , Progesterone (pessaries and injections),7870,60.1856,473660.3002
Consultant Led,IVF07 , Oestradiol valerate tablets,759,39.831,30231.7499
Consultant Led,IVF08 , Other drug not listed,3439,32.4215,111497.4147
Consultant Led,N01A ," Community Midwife, Ante Natal Visit",81199,171.8328,13952654.5
Consultant Led,N01P ," Community Midwife, Post Natal Visit",4946,97.2616,481055.6354
Consultant Led,N03F ," Health Visitor, Other Clinical Intervention",279,315.1542,87928.0271
Consultant Led,N18AF ," Specialist Nursing, HIV/AIDS Nursing Services, Adult, Face to face",9703,565.5809,5487831.533
Consultant Led,N18AN ," Specialist Nursing, HIV/AIDS Nursing Services, Adult, Non face to face",1939,219.8643,426316.8084
Consultant Led,VC01Z ," Assessment for Rehabilitation, Unidisciplinary",2286,233.9465,534801.6888
Consultant Led,VC03Z ," Assessment for Rehabilitation, Multidisciplinary, Specialist",1770,193.1251,341831.4645
Consultant Led,WF01A ," Non-Admitted Face-to-Face Attendance, Follow-up",23605856,192.2812,4538961738
Consultant Led,WF01B ," Non-Admitted Face-to-Face Attendance, First",14324642,232.0678,3324288303
Consultant Led,WF01C ," Non-Admitted Non-Face-to-Face Attendance, Follow-up",8187114,153.8448,1259544722
Consultant Led,WF01D ," Non-Admitted Non-Face-to-Face Attendance, First",2881446,167.6147,482972763.7
Consultant Led,WF02A ," Multiprofessional Non-Admitted Face-to-Face Attendance, Follow-up",967438,249.1171,241005336.9
Consultant Led,WF02B ," Multiprofessional Non-Admitted Face-to-Face Attendance, First",525925,277.3621,145871655.5
Consultant Led,WF02C ," Multiprofessional Non-Admitted Non-Face-to-Face Attendance, Follow-up",131280,184.4025,24208362.05
Consultant Led,WF02D ," Multiprofessional Non-Admitted Non-Face-to-Face Attendance, First",37895,168.9242,6401383.94
Consultant Led,WJ04Z , Genito-urinary medicine (GUM) infections,124114,82.5165,10241448
Consultant Led,WJ10A , HIV disease with multiple interventions,21,661.2828,13886.9397
Consultant Led,WJ10C ," HIV disease with single intervention, with CC score 0–4",5530,326.3962,1804971.06
Consultant Led,WJ10F ," HIV disease without Interventions, with CC score 0–1",1528,420.3334,642269.4617
Consultant Led,XD38Z ," Antiretroviral drugs, Band 1, Not High Cost",1118,123.7135,138311.6444
Critical care,XA01Z ," Neonatal Critical Care, Intensive Care",135595,2148.7102,291354361.9
Critical care,XA02Z ," Neonatal Critical Care, High Dependency",174088,1496.2683,260482357
Critical care,XA03Z ," Neonatal Critical Care, Special Care, without External Carer",357061,1065.5971,380483179.1
Critical care,XA04Z ," Neonatal Critical Care, Special Care, with External Carer",134290,822.4824,110451162
Critical care,XA05Z ," Neonatal Critical Care, Normal Care",76061,752.8638,57263576.93
Critical care,XA06Z ," Neonatal Critical Care, Transportation",214,795.1987,170172.522
Critical care,XB01Z ," Paediatric Critical Care, Advanced Critical Care 5",2264,5382.448,12185862.32
Critical care,XB02Z ," Paediatric Critical Care, Advanced Critical Care 4",11613,3278.6133,38074535.97
Critical care,XB03Z ," Paediatric Critical Care, Advanced Critical Care 3",3390,4536.9157,15380144.31
Critical care,XB04Z ," Paediatric Critical Care, Advanced Critical Care 2",11805,3573.4601,42184696.07
Critical care,XB05Z ," Paediatric Critical Care, Advanced Critical Care 1",20302,3525.0754,71566081.03
Critical care,XB06Z ," Paediatric Critical Care, Intermediate Critical Care",40478,2254.6647,91264315.75
Critical care,XB07Z ," Paediatric Critical Care, Basic Critical Care",20166,1838.4988,37075167.39
Critical care,XB09Z ," Paediatric Critical Care, Enhanced Care",43252,1703.058,73660662.72
Critical care,XC01Z ," Adult Critical Care, 6 or more Organs Supported",8203,3226.639,26468119.45
Critical care,XC02Z ," Adult Critical Care, 5 Organs Supported",32409,3273.8612,106102568.7
Critical care,XC03Z ," Adult Critical Care, 4 Organs Supported",113839,3126.3486,355900399.7
Critical care,XC04Z ," Adult Critical Care, 3 Organs Supported",266351,2713.6561,722785021.7
Critical care,XC05Z ," Adult Critical Care, 2 Organs Supported",350589,2398.5094,840891011.3
Critical care,XC06Z ," Adult Critical Care, 1 Organ Supported",488918,1737.829,849655888.7
Critical care,XC07Z ," Adult Critical Care, 0 Organs Supported",49702,1622.4313,80638082.61
Critical care transport,XA06Z ," Neonatal Critical Care, Transportation",8697,2622.23,22805534.47
Critical care transport,XB08Z ," Paediatric Critical Care, Transportation",6003,4533.6405,27215444.1
Daycase,AA22C ," Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",72,847.5464,61023.3407
Daycase,AA22D ," Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",55,327.0389,17987.1381
Daycase,AA22E ," Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",128,471.7684,60386.3521
Daycase,AA22F ," Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",285,448.2095,127739.6944
Daycase,AA22G ," Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",900,509.9636,458967.2172
Daycase,AA23E , Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,24,854.2171,20501.2112
Daycase,AA23F , Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,38,700.5996,26622.7841
Daycase,AA23G , Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,105,1022.7782,107391.7104
Daycase,AA24C ," Brain Tumours or Cerebral Cysts, with CC Score 11+",150,505.8754,75881.3169
Daycase,AA24D ," Brain Tumours or Cerebral Cysts, with CC Score 8-10",294,627.4614,184473.6408
Daycase,AA24E ," Brain Tumours or Cerebral Cysts, with CC Score 6-7",444,553.8502,245909.4809
Daycase,AA24F ," Brain Tumours or Cerebral Cysts, with CC Score 4-5",791,565.2386,447103.7496
Daycase,AA24G ," Brain Tumours or Cerebral Cysts, with CC Score 2-3",988,590.9943,583902.3571
Daycase,AA24H ," Brain Tumours or Cerebral Cysts, with CC Score 0-1",1122,566.2976,635385.9151
Daycase,AA25C ," Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",112,1107.3247,124020.366
Daycase,AA25D ," Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",130,722.838,93968.9368
Daycase,AA25E ," Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",395,615.5578,243145.3496
Daycase,AA25F ," Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",1098,602.1932,661208.1149
Daycase,AA25G ," Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",4235,577.1051,2444040.155
Daycase,AA26C ," Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",238,1468.5705,349519.769
Daycase,AA26D ," Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",364,1017.6876,370438.2903
Daycase,AA26E ," Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",736,859.8151,632823.94
Daycase,AA26F ," Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",1983,769.1098,1525144.662
Daycase,AA26G ," Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",4908,760.3416,3731756.332
Daycase,AA26H ," Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",8521,636.4166,5422905.822
Daycase,AA28C , Motor Neuron Disease with CC Score 8+,138,329.5909,45483.5476
Daycase,AA28D , Motor Neuron Disease with CC Score 5-7,200,438.4654,87693.0708
Daycase,AA28E , Motor Neuron Disease with CC Score 2-4,386,436.5489,168507.8575
Daycase,AA28F , Motor Neuron Disease with CC Score 0-1,379,595.2186,225587.8665
Daycase,AA29C , Transient Ischaemic Attack with CC Score 11+,38,342.5089,13015.3377
Daycase,AA29D , Transient Ischaemic Attack with CC Score 8-10,69,426.7794,29447.7802
Daycase,AA29E , Transient Ischaemic Attack with CC Score 5-7,138,337.0421,46511.8042
Daycase,AA29F , Transient Ischaemic Attack with CC Score 0-4,248,348.9538,86540.5344
Daycase,AA30C ," Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",1192,629.9133,750856.712
Daycase,AA30D ," Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",2949,528.9088,1559752.053
Daycase,AA30E ," Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",12443,500.8787,6232434.026
Daycase,AA30F ," Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",40537,512.6875,20782813.21
Daycase,AA31C ," Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",144,679.9817,97917.3693
Daycase,AA31D ," Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",433,542.0793,234720.3449
Daycase,AA31E ," Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",3569,449.6122,1604665.86
Daycase,AA32Z , Neuropsychology Tests,387,293.3142,113512.5994
Daycase,AA33C ," Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",483,990.6226,478470.6925
Daycase,AA33D ," Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",2153,870.0983,1873321.737
Daycase,AA35C , Stroke with CC Score 10-12,11,587.9911,6467.9024
Daycase,AA35D , Stroke with CC Score 7-9,32,507.0759,16226.4291
Daycase,AA35E , Stroke with CC Score 4-6,83,516.115,42837.5482
Daycase,AA35F , Stroke with CC Score 0-3,83,487.7527,40483.4707
Daycase,AA43A ," Sleep Disorders, excluding Sleep Apnoea, with CC Score 2+",107,406.261,43469.9305
Daycase,AA43B ," Sleep Disorders, excluding Sleep Apnoea, with CC Score 0-1",105,588.2139,61762.4591
Daycase,AA50C ," Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",32,1964.9153,62877.2895
Daycase,AA51C ," Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",37,2240.0877,82883.2441
Daycase,AA51D ," Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",58,2343.4695,135921.2302
Daycase,AA52C ," Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",25,4151.1883,103779.7078
Daycase,AA52D ," Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",20,4094.6607,81893.2141
Daycase,AA53A ," Major Intracranial Procedures, 19 years and over, with CC Score 12+",14,3715.1347,52011.8854
Daycase,AA53B ," Major Intracranial Procedures, 19 years and over, with CC Score 8-11",30,3330.8621,99925.863
Daycase,AA53C ," Major Intracranial Procedures, 19 years and over, with CC Score 4-7",100,3368.1986,336819.8644
